qb_name,qb_value_shrunk
A.Brown,-0.7181737626060171
A.Dalton,-2.1810359689679495
A.Luck,0.3643058856991935
A.McCarron,-0.8972108527785984
A.O'Connell,-2.4884048650386816
A.Richardson,-0.7428117571768148
A.Rodgers,2.675
A.Smith,-0.6499999999999999
Aa.Rodgers,1.5663741086121776
B.Allen,-3.098750810352566
B.Bortles,0.20277135157051202
B.DiNucci,-0.6412506856829402
B.Gabbert,-0.6668387596398954
B.Hoyer,0.551717635765222
B.Mayfield,-0.10971161464853181
B.Nix,0.040129002969716415
B.Osweiler,-1.7449259462424578
B.Perkins,-1.1412506856829403
B.Purdy,4.530791362074177
B.Roethlisberger,1.3870552358284445
B.Rypien,-0.3125
B.Young,-4.270687054306088
B.Zappe,-2.5146199527773145
C.Beathard,-1.5500000000000003
C.Daniel,-0.4062500000000001
C.Henne,-0.6664416220093676
C.Keenum,-2.1801011104357237
C.Kessler,-0.15669065212481043
C.McCoy,-2.4276634310381837
C.Newton,0.4385329962555749
C.Rush,-2.4038461538461537
C.Streveler,0.05105700662475209
C.Stroud,0.5194478817180982
C.Tune,-0.8720199164521709
C.Wentz,0.9394319339464704
C.Williams,-1.557370382280061
D.Anderson,-1.4642857142857142
D.Blough,-3.438750469151486
D.Brees,4.153240341666013
D.Carr,-0.06480913813687843
D.Haskins,-3.626549643444871
D.Hodges,0.009631828595398658
D.Jones,-3.329002826055257
D.Kizer,0.44894299337524796
D.Lock,-3.5342630490738007
D.Maye,-2.6896599012616567
D.Mills,-6.440476190476192
D.Prescott,3.3627450980392153
D.Ridder,-0.3666666666666667
D.Thompson-Robinson,-1.2681934540135307
D.Watson,0.7242494057414518
D.Webb,-1.1412506856829403
E.Manning,-1.671875
E.Stick,-0.862573005065987
G.Gilbert,-1.7142857142857142
G.Minshew,-1.6770833333333335
G.Minshew II,-1.9065496434448712
G.Smith,-0.41136690894130556
I.Book,-0.3587493143170598
J.Allen,3.2687286019634176
J.Brissett,-1.7672392119217406
J.Browning,-0.245460057164304
J.Burrow,1.2529780649180906
J.Daniels,0.2902318116251194
J.Dobbs,-3.2740184938484447
J.Driskel,-3.0221207278971596
J.Fields,-2.781977758938812
J.Flacco,-1.217627369104526
J.Fromm,-0.5895185450862905
J.Garoppolo,2.3602941176470584
J.Goff,1.731778672696217
J.Herbert,1.25
J.Hurts,3.0986842105263155
J.Johnson,-2.29463392597851
J.Love,0.6210791402782626
J.Luton,-2.2109160724081183
J.McCown,-1.244249405741452
J.Milton,-0.3587493143170598
J.Rosen,-5.475416996810305
J.Stidham,-1.8230131328450196
J.Winston,-0.945614122575176
J.Wolford,-0.4994148838910222
Jos.Allen,1.375
K.Allen,-1.9057505942585482
K.Cousins,1.4616260273108121
K.Hinton,-1.4356723912401368
K.Murray,-0.9636409167879032
K.Pickett,-1.0096073975393778
L.Falk,-2.622417260925215
L.Jackson,4.579259622195357
M.Barkley,-0.5714285714285714
M.Glennon,-4.061137984341495
M.Jones,-0.09284821452658651
M.Mariota,-0.2199204024229409
M.Moore,-0.6109160724081186
M.Penix,0.7890839275918815
M.Rudolph,-0.549191700816366
M.Ryan,-1.2936935869944646
M.Sanchez,-0.6071428571428571
M.Schaub,-0.7049031604709061
M.Stafford,0.31155382162503
M.Trubisky,0.9154029956209265
M.White,-1.754539942835696
M.Willis,-0.3333333333333333
N.Foles,-1.6727164393667124
N.Mullens,-1.3079921541249024
N.Peterman,-1.744249405741452
P.Mahomes,5.521186440677966
P.Rivers,2.669642857142857
P.Walker,-2.301726614946582
R.Finley,-2.366081550557689
R.Fitzpatrick,-4.0176978375725385
R.Griffin,-0.6797122241444786
R.Griffin III,-0.2818262373939829
R.Tannehill,-0.18813203833370973
R.Wilson,0.8800656330898556
S.Bradford,-1.2775827390747851
S.Darnold,-2.3783969539543737
S.Ehlinger,-0.28125
S.Howell,-2.5999999999999996
S.Mannion,-1.3214285714285714
S.Rattler,-2.771775846637988
S.Thompson,0.17671763576522215
T.Bagent,-1.3331612403601045
T.Boyle,-3.1666666666666665
T.Brady,5.925531914893617
T.Bridgewater,-0.8435971206913923
T.DeVito,-2.983625891387822
T.Heinicke,-1.4147967189274004
T.Hill,1.391374108612178
T.Huntley,0.053571428571428506
T.Lance,0.46874999999999994
T.Lawrence,-1.7230459001954679
T.McKee,0.10278914722140176
T.McSorley,-0.7049031604709061
T.Siemian,-0.9569033365928117
T.Tagovailoa,1.5534032729932346
T.Taylor,-2.441901786353121
Ty.Taylor,-0.39721085277859824
W.Grier,-0.44894299337524796
W.Levis,-1.7275827390747849
Z.Wilson,-3.393806413005535
