season,week,away_team,home_team,closing_spread_home,model_spread,edge,edge_bin,confidence,bet_side,won
2018,8,NE,BUF,-13.5,6.896406225591,20.396406225591,huge,STRONG,BUF -13.5,False
2021,15,ARI,DET,-13.0,7.137946102554858,20.137946102554857,huge,STRONG,DET -13.0,True
2018,9,CHI,BUF,-10.5,9.306619295561504,19.806619295561504,huge,STRONG,BUF -10.5,False
2018,3,BUF,MIN,16.5,-3.0658500617394027,-19.565850061739404,huge,STRONG,BUF -16.5,True
2021,7,DET,LA,17.0,-1.7262432493347517,-18.72624324933475,huge,STRONG,DET -17.0,False
2018,5,TEN,BUF,-6.0,12.393029531627734,18.393029531627732,huge,STRONG,BUF -6.0,True
2020,12,NO,DEN,-17.0,1.3217096090919382,18.32170960909194,huge,STRONG,DEN -17.0,False
2018,16,BUF,NE,14.0,-3.66578512238852,-17.66578512238852,huge,STRONG,BUF -14.0,False
2021,11,DET,CLE,13.0,-3.356731297844789,-16.35673129784479,huge,STRONG,DET -13.0,False
2018,10,BUF,NYJ,6.5,-9.703961849591357,-16.20396184959136,huge,STRONG,BUF -6.5,True
2018,6,BUF,HOU,10.5,-5.701445196731138,-16.201445196731136,huge,STRONG,BUF -10.5,False
2020,9,PIT,DAL,-14.0,1.902131920032608,15.902131920032607,huge,STRONG,DAL -14.0,False
2018,12,JAX,BUF,-3.0,12.821398014479064,15.821398014479064,huge,STRONG,BUF -3.0,True
2019,17,NYJ,BUF,-1.5,13.680935737939729,15.180935737939729,huge,STRONG,BUF -1.5,False
2020,15,PIT,CIN,-14.5,0.529157325863624,15.029157325863624,huge,STRONG,CIN -14.5,True
2019,11,CIN,OAK,13.0,-1.9153635133346685,-14.915363513334668,huge,STRONG,CIN -13.0,False
2020,8,TEN,CIN,-7.5,7.258810305992978,14.758810305992977,huge,STRONG,CIN -7.5,True
2021,14,DET,DEN,13.0,-1.7563053915658766,-14.756305391565876,huge,STRONG,DET -13.0,False
2019,2,NE,MIA,-18.0,-3.3325390185902983,14.667460981409702,huge,STRONG,MIA -18.0,False
2019,4,NE,BUF,-7.0,7.422931424529992,14.422931424529992,huge,STRONG,BUF -7.0,False
