season,week,away_team,home_team,closing_spread_home,model_spread,raw_edge,norm_edge,bet_side,won
2018,17,JAX,HOU,7.0,5.24137966667719,-1.7586203333228099,-0.25123147618897285,JAX -7.0,False
2021,3,TB,LA,-1.0,-2.7662997880890945,-1.7662997880890945,-0.25232854115558495,TB +1.0,False
2021,3,NO,NE,3.0,1.2295943455619844,-1.7704056544380156,-0.2529150934911451,NO -3.0,True
2018,14,PHI,DAL,3.5,1.7272479166117287,-1.7727520833882713,-0.2532502976268959,PHI -3.5,False
2022,7,IND,TEN,2.5,0.7151942882228035,-1.7848057117771965,-0.2549722445395995,IND -2.5,False
2022,18,TEN,JAX,6.0,4.21007759603476,-1.7899224039652397,-0.25570320056646284,TEN -6.0,False
2021,16,SF,TEN,-3.5,-5.3021898152770754,-1.8021898152770754,-0.25745568789672507,SF +3.5,False
2018,7,DAL,WAS,-1.5,-3.308176827029088,-1.8081768270290879,-0.2583109752898697,DAL +1.5,False
2020,10,DEN,LV,3.5,1.690107168735315,-1.809892831264685,-0.25855611875209783,DEN -3.5,False
2021,14,ATL,CAR,2.5,0.6808473631692421,-1.8191526368307578,-0.2598789481186797,ATL -2.5,True
2022,5,SF,CAR,-6.0,-7.82382528048034,-1.8238252804803397,-0.26054646864004855,SF +6.0,True
2018,8,CLE,PIT,8.5,6.282758193488179,-2.2172418065118213,-0.26085197723668485,CLE -8.5,False
2018,9,DET,MIN,4.5,2.6730958676587973,-1.8269041323412027,-0.2609863046201718,DET -4.5,False
2021,13,DEN,KC,8.5,6.281271763346349,-2.218728236653651,-0.2610268513710178,DEN -8.5,False
2018,4,PHI,TEN,-3.0,-4.830568805661794,-1.8305688056617937,-0.26150982938025624,PHI +3.0,False
2022,18,DET,GB,5.5,3.6503298550693617,-1.8496701449306383,-0.2642385921329483,DET -5.5,True
2019,10,KC,TEN,-5.0,-6.84969096059607,-1.84969096059607,-0.2642415657994386,KC +5.0,False
2018,8,NYJ,CHI,8.5,6.252889593448959,-2.247110406551041,-0.2643659301824754,NYJ -8.5,False
2020,5,IND,CLE,1.0,-0.8566400275438071,-1.856640027543807,-0.2652342896491153,IND -1.0,False
2024,9,LV,CIN,8.0,5.867333110518546,-2.132666889481454,-0.2665833611851818,LV -8.0,False
2019,4,TEN,ATL,3.5,1.602814902889962,-1.897185097110038,-0.27102644244429114,TEN -3.5,True
2020,3,CIN,PHI,5.5,3.60038255824279,-1.89961744175721,-0.27137392025103,CIN -5.5,False
2024,13,SF,BUF,6.5,4.586729052415085,-1.9132709475849152,-0.2733244210835593,SF -6.5,False
2023,5,HOU,ATL,2.5,0.5855041377085355,-1.9144958622914645,-0.27349940889878066,HOU -2.5,False
2024,7,DET,MIN,1.0,-0.9148417111708356,-1.9148417111708356,-0.27354881588154795,DET -1.0,True
2024,4,WAS,ARI,3.5,1.5790144355929203,-1.9209855644070797,-0.27442650920101136,WAS -3.5,True
2024,2,NO,DAL,6.5,4.574676114064534,-1.925323885935466,-0.2750462694193523,NO -6.5,True
2018,7,NYG,ATL,4.5,2.574343757282076,-1.925656242717924,-0.27509374895970345,NYG -4.5,False
2020,15,BUF,DEN,-5.5,-7.436224103803426,-1.9362241038034256,-0.27660344340048937,BUF +5.5,True
2023,1,TB,MIN,4.0,2.0619460135338388,-1.9380539864661612,-0.2768648552094516,TB -4.0,True
2020,6,CHI,CAR,2.0,0.0526655320558944,-1.9473344679441056,-0.2781906382777294,CHI -2.0,True
2022,5,HOU,JAX,7.0,5.041265934333444,-1.9587340656665564,-0.27981915223807946,HOU -7.0,True
2019,5,BAL,PIT,-3.5,-5.4738651037909,-1.9738651037909003,-0.2819807291129858,BAL +3.5,True
2021,10,CAR,ARI,7.0,5.011040665798983,-1.9889593342010166,-0.28413704774300236,CAR -7.0,True
