season,week,home_team,away_team,model_spread,sigma,actual_margin,closing_spread_home,edge,model_side_correct,vegas_side_correct,edge_bucket,abs_edge,chosen_side,p_win,ev_per_1,breakeven_p,won,bet_side
2020,16,BAL,NYG,14.623854424663271,7.943190336058034,14.0,10.0,4.623854424663271,True,True,"(3, 5]",4.623854424663271,HOME,0.9617550566702022,0.8360778354612951,0.5238095238095238,True,BAL +10.0
2022,14,BUF,NYJ,13.98763335067182,7.943190336058034,8.0,10.0,3.9876333506718193,True,True,"(3, 5]",3.9876333506718193,HOME,0.9577953974743252,0.828518486087348,0.5238095238095238,True,BUF +10.0
2023,5,DET,CAR,14.088083213857368,7.943190336058034,18.0,9.5,4.588083213857368,True,True,"(3, 5]",4.588083213857368,HOME,0.9551434658980777,0.823455707623603,0.5238095238095238,True,DET +9.5
2022,2,BUF,TEN,12.785934136989498,7.943190336058034,34.0,10.0,2.785934136989498,True,True,"(2, 3]",2.785934136989498,HOME,0.9494149295044447,0.8125194108721218,0.5238095238095238,True,BUF +10.0
2020,15,GB,CAR,13.239054477242965,7.943190336058034,8.0,9.5,3.7390544772429646,True,True,"(3, 5]",3.7390544772429646,HOME,0.9490628935149419,0.8118473421648891,0.5238095238095238,True,GB +9.5
2023,11,BUF,NYJ,14.582460936878716,7.943190336058034,26.0,8.0,6.582460936878716,True,True,"(5, 7]",6.582460936878716,HOME,0.9478728215595534,0.8095753866136929,0.5238095238095238,True,BUF +8.0
2024,7,BUF,TEN,13.018662024382698,7.943190336058034,24.0,9.5,3.5186620243826976,True,True,"(3, 5]",3.5186620243826976,HOME,0.947381678102782,0.8086377491053109,0.5238095238095238,True,BUF +9.5
2024,17,BUF,NYJ,12.447554705783736,7.943190336058034,26.0,10.0,2.447554705783736,True,True,"(2, 3]",2.447554705783736,HOME,0.9468299523576545,0.8075844545009768,0.5238095238095238,True,BUF +10.0
2024,2,BAL,LV,13.33708778810288,7.943190336058034,-3.0,9.0,4.337087788102879,False,False,"(3, 5]",4.337087788102879,HOME,0.9459637472913673,0.8059307902835194,0.5238095238095238,True,BAL +9.0
2020,9,KC,CAR,12.235117842883335,7.943190336058034,2.0,10.0,2.235117842883336,True,True,"(2, 3]",2.235117842883336,HOME,0.9451542907204087,0.8043854641025984,0.5238095238095238,True,KC +10.0
