qb_name,qb_value_points,games
B.Hoyer,9.30998545807077,1
Jos.Allen,7.30998545807077,2
Aa.Rodgers,7.143318791404103,3
P.Mahomes,5.9290330771183894,63
D.Kizer,5.809985458070771,1
T.Brady,5.358765945875649,41
L.Jackson,5.231554085521751,51
B.Purdy,5.114333284157727,23
D.Brees,5.059985458070771,20
J.Allen,4.326652124737437,60
P.Rivers,3.9766521247374373,24
D.Prescott,3.6561393042246166,52
J.Hurts,3.3228059708912836,39
A.Rodgers,3.319600842686155,52
J.Garoppolo,2.684985458070771,28
B.Nix,2.6433187914041043,15
J.Goff,2.349047958070771,64
A.Luck,2.309985458070771,8
B.Roethlisberger,2.247485458070771,24
K.Cousins,1.932626967504733,53
S.Thompson,1.8099854580707708,1
T.Lance,1.80998545807077,2
J.Love,1.7190763671616798,22
D.Watson,1.7099854580707707,30
T.Tagovailoa,1.6817803298656424,39
M.Willis,1.6433187914041039,3
M.Penix,1.4766521247374376,6
S.Ehlinger,1.3099854580707708,2
T.McKee,1.3099854580707708,1
J.Daniels,1.2645309126162252,11
C.Wentz,1.2528426009279137,35
R.Wilson,1.162926634541359,51
J.Burrow,0.9864560463060649,34
J.Herbert,0.8950918410494941,47
C.Stroud,0.8349854580707708,20
C.Kessler,0.8099854580707708,3
B.Mayfield,0.5642227462063639,59
M.Trubisky,0.5099854580707708,25
M.Rudolph,0.4463490944344072,11
C.Newton,0.2047223001760338,19
M.Stafford,0.15544000352531603,55
D.Ridder,0.14331879140410406,9
T.Bridgewater,-0.07890343081811817,18
T.Hill,-0.19001454192922917,3
B.Bortles,-0.19001454192922934,5
D.Maye,-0.27334787526256266,12
R.Tannehill,-0.5489889009035881,39
D.Carr,-0.7471573990720864,35
M.Mariota,-0.7900145419292294,20
K.Murray,-0.8011256530403403,45
C.Williams,-0.8233478752625625,15
M.Ryan,-0.8427923197070071,36
J.Browning,-0.9400145419292293,6
G.Smith,-1.0429557183998175,34
T.Huntley,-1.0789034308181182,9
W.Levis,-1.2900145419292293,10
M.Jones,-1.3864431133578008,28
J.McCarthy,-1.5650145419292292,4
B.Zappe,-1.590014541929229,5
D.Hodges,-1.6900145419292292,2
E.Manning,-1.8400145419292293,10
K.Pickett,-1.8718327237474113,11
S.Darnold,-1.9344589863736739,45
B.Rypien,-1.9400145419292292,2
T.Siemian,-1.9400145419292294,4
A.Smith,-1.967792319707007,9
T.Lawrence,-1.9737983257130132,37
J.Brissett,-2.1483478752625627,24
D.Gabriel,-2.190014541929229,2
N.Mullens,-2.190014541929229,12
T.Bagent,-2.5233478752625627,3
J.Wolford,-2.5233478752625627,3
A.Richardson,-2.618585970500658,7
K.Allen,-2.6275145419292296,8
A.Dalton,-2.6727731626188844,29
D.Jones,-2.7852526371673245,42
G.Minshew,-2.9122367641514515,18
J.Winston,-3.0233478752625627,21
J.Flacco,-3.0700145419292295,25
T.Heinicke,-3.0900145419292295,15
M.Barkley,-3.190014541929229,1
A.O'Connell,-3.190014541929229,9
C.Keenum,-3.3685859705006576,14
J.Fields,-3.3775145419292296,24
T.Shough,-3.523347875262562,3
D.Thompson-Robinson,-3.690014541929229,4
S.Bradford,-3.690014541929229,2
R.Griffin III,-3.690014541929229,1
G.Minshew II,-3.690014541929229,7
C.Beathard,-3.81501454192923,4
E.Stick,-3.8566812085958966,3
B.Osweiler,-4.190014541929229,3
B.Cook,-4.190014541929229,1
N.Foles,-4.190014541929229,7
T.Taylor,-4.377514541929229,8
S.Sanders,-4.523347875262563,3
I.Book,-4.690014541929229,1
J.Milton,-4.690014541929229,1
M.Sanchez,-4.690014541929229,1
J.Driskel,-4.690014541929229,5
D.Lock,-4.7614431133578,14
J.Dart,-4.94001454192923,4
J.McCown,-4.94001454192923,2
S.Rattler,-5.002514541929229,8
Ty.Taylor,-5.190014541929229,1
C.Rush,-5.467792319707008,9
R.Fitzpatrick,-5.56501454192923,12
S.Howell,-5.578903430818119,9
B.Gabbert,-5.940014541929229,2
Z.Wilson,-5.95472042428217,17
B.Young,-6.0900145419292295,20
T.DeVito,-6.690014541929229,4
J.Rosen,-6.752514541929229,8
J.Stidham,-6.856681208595897,3
M.Moore,-6.940014541929229,2
D.Haskins,-6.975728827643515,7
C.McCoy,-6.99001454192923,5
M.White,-7.023347875262563,3
S.Mannion,-7.190014541929229,1
J.Johnson,-7.690014541929229,1
J.Fromm,-7.690014541929229,1
J.Dobbs,-7.832871684786373,7
C.Daniel,-8.19001454192923,2
L.Falk,-8.19001454192923,1
B.Allen,-8.44001454192923,4
P.Walker,-8.69001454192923,4
C.Henne,-8.69001454192923,1
C.Ward,-9.118585970500657,7
D.Mills,-9.134458986373675,18
M.Schaub,-9.19001454192923,1
T.McSorley,-9.19001454192923,1
D.Blough,-9.856681208595896,3
N.Peterman,-10.19001454192923,2
J.Luton,-10.69001454192923,2
T.Boyle,-11.023347875262564,3
M.Glennon,-11.19001454192923,3
A.McCarron,-11.69001454192923,1
R.Finley,-11.856681208595896,3
D.Anderson,-15.19001454192923,1
G.Gilbert,-15.69001454192923,1
K.Hinton,-18.69001454192923,1
