season,week,home_team,away_team,closing_spread_home,bet_spread_home,bet_time_note
2020,1,DEN,TEN,-3.0,-3.0,closing (baseline)
2020,1,NYG,PIT,-6.0,-6.0,closing (baseline)
2020,1,LA,DAL,1.0,1.0,closing (baseline)
2020,1,SF,ARI,7.0,7.0,closing (baseline)
2020,1,NO,TB,4.0,4.0,closing (baseline)
2020,1,CIN,LAC,-2.5,-2.5,closing (baseline)
2020,1,WAS,PHI,-5.5,-5.5,closing (baseline)
2020,1,NE,MIA,7.5,7.5,closing (baseline)
2020,1,MIN,GB,1.0,1.0,closing (baseline)
2020,1,DET,CHI,2.5,2.5,closing (baseline)
2020,1,CAR,LV,-3.0,-3.0,closing (baseline)
2020,1,BUF,NYJ,6.5,6.5,closing (baseline)
2020,1,BAL,CLE,7.0,7.0,closing (baseline)
2020,1,ATL,SEA,1.0,1.0,closing (baseline)
2020,1,KC,HOU,9.5,9.5,closing (baseline)
2020,1,JAX,IND,-7.0,-7.0,closing (baseline)
2020,2,TB,CAR,7.5,7.5,closing (baseline)
2020,2,LV,NO,-4.0,-4.0,closing (baseline)
2020,2,SEA,NE,4.0,4.0,closing (baseline)
2020,2,HOU,BAL,-7.5,-7.5,closing (baseline)
2020,2,ARI,WAS,7.5,7.5,closing (baseline)
2020,2,TEN,JAX,7.0,7.0,closing (baseline)
2020,2,PIT,DEN,6.0,6.0,closing (baseline)
2020,2,LAC,KC,-8.5,-8.5,closing (baseline)
2020,2,NYJ,SF,-7.0,-7.0,closing (baseline)
2020,2,MIA,BUF,-5.5,-5.5,closing (baseline)
2020,2,IND,MIN,3.5,3.5,closing (baseline)
2020,2,GB,DET,7.0,7.0,closing (baseline)
2020,2,DAL,ATL,3.0,3.0,closing (baseline)
2020,2,CHI,NYG,4.5,4.5,closing (baseline)
2020,2,CLE,CIN,6.0,6.0,closing (baseline)
2020,2,PHI,LA,2.0,2.0,closing (baseline)
2020,3,BAL,KC,3.5,3.5,closing (baseline)
2020,3,NO,GB,3.5,3.5,closing (baseline)
2020,3,SEA,DAL,5.5,5.5,closing (baseline)
2020,3,DEN,TB,-6.0,-6.0,closing (baseline)
2020,3,ARI,DET,4.5,4.5,closing (baseline)
2020,3,LAC,CAR,6.0,6.0,closing (baseline)
2020,3,IND,NYJ,12.5,12.5,closing (baseline)
2020,3,PIT,HOU,4.0,4.0,closing (baseline)
2020,3,PHI,CIN,5.5,5.5,closing (baseline)
2020,3,NE,LV,7.0,7.0,closing (baseline)
2020,3,MIN,TEN,-3.0,-3.0,closing (baseline)
2020,3,CLE,WAS,7.5,7.5,closing (baseline)
2020,3,BUF,LA,1.5,1.5,closing (baseline)
2020,3,ATL,CHI,2.5,2.5,closing (baseline)
2020,3,JAX,MIA,3.0,3.0,closing (baseline)
2020,3,NYG,SF,-3.0,-3.0,closing (baseline)
2020,4,GB,ATL,5.0,5.0,closing (baseline)
2020,4,KC,NE,7.0,7.0,closing (baseline)
2020,4,SF,PHI,8.5,8.5,closing (baseline)
2020,4,LV,BUF,-3.0,-3.0,closing (baseline)
2020,4,CHI,IND,-3.5,-3.5,closing (baseline)
2020,4,LA,NYG,13.5,13.5,closing (baseline)
2020,4,WAS,BAL,-14.5,-14.5,closing (baseline)
2020,4,HOU,MIN,3.5,3.5,closing (baseline)
2020,4,MIA,SEA,-4.5,-4.5,closing (baseline)
2020,4,DET,NO,-3.0,-3.0,closing (baseline)
2020,4,DAL,CLE,3.5,3.5,closing (baseline)
2020,4,CIN,JAX,1.0,1.0,closing (baseline)
2020,4,CAR,ARI,-3.0,-3.0,closing (baseline)
2020,4,NYJ,DEN,1.0,1.0,closing (baseline)
2020,4,TB,LAC,7.5,7.5,closing (baseline)
2020,5,TEN,BUF,-3.0,-3.0,closing (baseline)
2020,5,NO,LAC,7.0,7.0,closing (baseline)
2020,5,SEA,MIN,6.5,6.5,closing (baseline)
2020,5,DAL,NYG,7.5,7.5,closing (baseline)
2020,5,CLE,IND,1.0,1.0,closing (baseline)
2020,5,SF,MIA,8.5,8.5,closing (baseline)
2020,5,WAS,LA,-7.0,-7.0,closing (baseline)
2020,5,PIT,PHI,7.5,7.5,closing (baseline)
2020,5,KC,LV,11.0,11.0,closing (baseline)
2020,5,HOU,JAX,6.5,6.5,closing (baseline)
2020,5,BAL,CIN,12.5,12.5,closing (baseline)
2020,5,ATL,CAR,2.5,2.5,closing (baseline)
2020,5,CHI,TB,-3.5,-3.5,closing (baseline)
2020,5,NYJ,ARI,-7.0,-7.0,closing (baseline)
2020,6,TEN,HOU,4.0,4.0,closing (baseline)
2020,6,BUF,KC,-5.5,-5.5,closing (baseline)
2020,6,SF,LA,-2.0,-2.0,closing (baseline)
2020,6,DAL,ARI,1.0,1.0,closing (baseline)
2020,6,MIA,NYJ,9.5,9.5,closing (baseline)
2020,6,PIT,CLE,3.0,3.0,closing (baseline)
2020,6,TB,GB,-3.0,-3.0,closing (baseline)
2020,6,NYG,WAS,2.0,2.0,closing (baseline)
2020,6,CAR,CHI,2.0,2.0,closing (baseline)
2020,6,IND,CIN,7.5,7.5,closing (baseline)
2020,6,PHI,BAL,-10.5,-10.5,closing (baseline)
2020,6,MIN,ATL,3.5,3.5,closing (baseline)
2020,6,NE,DEN,7.0,7.0,closing (baseline)
2020,6,JAX,DET,-3.0,-3.0,closing (baseline)
2020,7,LA,CHI,6.5,6.5,closing (baseline)
2020,7,ARI,SEA,-3.5,-3.5,closing (baseline)
2020,7,NE,SF,3.0,3.0,closing (baseline)
2020,7,LAC,JAX,8.0,8.0,closing (baseline)
2020,7,DEN,KC,-7.0,-7.0,closing (baseline)
2020,7,WAS,DAL,-1.0,-1.0,closing (baseline)
2020,7,LV,TB,-3.5,-3.5,closing (baseline)
2020,7,NYJ,BUF,-9.5,-9.5,closing (baseline)
2020,7,NO,CAR,7.0,7.0,closing (baseline)
2020,7,HOU,GB,-2.5,-2.5,closing (baseline)
2020,7,CIN,CLE,-4.5,-4.5,closing (baseline)
2020,7,ATL,DET,1.0,1.0,closing (baseline)
2020,7,PHI,NYG,5.0,5.0,closing (baseline)
2020,7,TEN,PIT,1.0,1.0,closing (baseline)
2020,8,NYG,TB,-13.0,-13.0,closing (baseline)
2020,8,PHI,DAL,10.0,10.0,closing (baseline)
2020,8,SEA,SF,1.0,1.0,closing (baseline)
2020,8,CHI,NO,-5.5,-5.5,closing (baseline)
2020,8,DEN,LAC,-3.0,-3.0,closing (baseline)
2020,8,MIA,LA,-3.5,-3.5,closing (baseline)
2020,8,KC,NYJ,20.0,20.0,closing (baseline)
2020,8,GB,MIN,5.5,5.5,closing (baseline)
2020,8,CLE,LV,1.0,1.0,closing (baseline)
2020,8,CIN,TEN,-7.5,-7.5,closing (baseline)
2020,8,BUF,NE,4.0,4.0,closing (baseline)
2020,8,BAL,PIT,4.0,4.0,closing (baseline)
2020,8,CAR,ATL,1.5,1.5,closing (baseline)
2020,8,DET,IND,-3.5,-3.5,closing (baseline)
2020,9,NYJ,NE,-9.5,-9.5,closing (baseline)
2020,9,TB,NO,3.0,3.0,closing (baseline)
2020,9,DAL,PIT,-14.0,-14.0,closing (baseline)
2020,9,ARI,MIA,6.0,6.0,closing (baseline)
2020,9,LAC,LV,-1.0,-1.0,closing (baseline)
2020,9,WAS,NYG,3.0,3.0,closing (baseline)
2020,9,TEN,CHI,6.5,6.5,closing (baseline)
