season,week,home_team,away_team,closing_spread_home
2025,15,HOU,ARI,-10.5
2025,15,CIN,BAL,3.0
2025,15,NE,BUF,1.5
2025,15,CHI,CLE,-7.5
2025,15,JAX,NYJ,-13.5
2025,15,KC,LAC,-6.0
2025,15,PHI,LV,-12.5
2025,15,NYG,WAS,-2.5
2025,15,NO,CAR,2.5
2025,15,DEN,GB,1.5
2025,15,LA,DET,-6.0
2025,15,SEA,IND,-13.5
2025,15,SF,TEN,-11.5
2025,15,DAL,MIN,-5.5
2025,15,PIT,MIA,-3.0
2025,15,SEA,LA,-1.5
2025,15,WAS,PHI,5.5
2025,15,CHI,GB,3.0
2025,15,CLE,BUF,9.5
2025,15,CAR,TB,1.5
2025,15,MIA,CIN,1.5
2025,15,DAL,LAC,-2.5
2025,15,TEN,KC,10.5
2025,15,NYG,MIN,1.5
2025,15,NO,NYJ,-3.5
2025,15,ARI,ATL,-1.5
2025,15,DEN,JAX,-3.0
2025,15,DET,PIT,-6.5
2025,15,HOU,LV,-11.5
2025,15,BAL,NE,-1.5
2025,15,IND,SF,6.5
