season,week,away_team,home_team,model_spread_home,sigma,vegas_spread_home,blended_spread_home,edge_bin,alpha
2025,12,BUF,HOU,-11.13,6.61,,,no_vegas,
2025,12,NYJ,BAL,15.34,6.61,,,no_vegas,
2025,12,PIT,CHI,0.65,6.61,,,no_vegas,
2025,12,NE,CIN,-0.73,6.61,,,no_vegas,
2025,12,NYG,DET,11.05,6.61,,,no_vegas,
2025,12,MIN,GB,5.24,6.61,,,no_vegas,
2025,12,IND,KC,10.28,6.61,,,no_vegas,
2025,12,SEA,TEN,-7.37,6.61,,,no_vegas,
2025,12,JAX,ARI,2.39,6.61,,,no_vegas,
2025,12,CLE,LV,2.01,6.61,,,no_vegas,
2025,12,PHI,DAL,0.37,6.61,,,no_vegas,
2025,12,ATL,NO,1.07,6.61,,,no_vegas,
2025,12,TB,LA,3.88,6.61,,,no_vegas,
2025,12,CAR,SF,14.69,6.61,,,no_vegas,
