Season,Week,Away Team,Home Team,Spread (Away +/- Home),Home Odds,Total,Sigma
2025,15,ATL,TB,-6.9,-255,46.8,6.76
2025,15,CLE,CHI,-4.4,-181,45.8,6.76
2025,15,BAL,CIN,3.8,167,45.5,6.76
2025,15,ARI,HOU,-3.2,-154,45.3,6.76
2025,15,NYJ,JAX,-4.8,-190,45.9,6.76
2025,15,LAC,KC,-5.6,-213,46.2,6.76
2025,15,BUF,NE,4.3,179,45.7,6.76
2025,15,WAS,NYG,0.0,100,44.0,6.76
2025,15,LV,PHI,-9.9,-390,47.9,6.76
2025,15,GB,DEN,1.4,120,44.6,6.76
2025,15,DET,LA,-1.3,-119,44.5,6.76
2025,15,CAR,NO,-6.5,-243,46.6,6.76
2025,15,IND,SEA,-6.1,-228,46.4,6.76
2025,15,TEN,SF,-10.7,-442,48.3,6.76
2025,15,MIN,DAL,-2.0,-130,44.8,6.76
2025,15,MIA,PIT,-2.5,-139,45.0,6.76
