away_team,home_team,vegas_spread_home,blended_spread_home,bet_edge,edge_bin,confidence,bet_side
TEN,SF,-11.5,-3.81,7.6899999999999995,huge,⭐⭐⭐ STRONG,SF -11.5
LV,PHI,-12.5,-4.89,7.61,huge,⭐⭐⭐ STRONG,PHI -12.5
NYJ,JAX,-13.5,-6.3,7.2,large,⭐ MEDIUM,JAX -13.5
IND,SEA,-13.5,-6.57,6.93,huge,⭐⭐⭐ STRONG,SEA -13.5
ARI,HOU,-10.5,-4.93,5.57,large,⭐ MEDIUM,HOU -10.5
CLE,CHI,-7.5,-2.67,4.83,large,⭐ MEDIUM,CHI -7.5
LAC,KC,-6.0,-2.13,3.87,huge,⭐⭐ HIGH,KC -6.0
DET,LA,-6.0,-2.4,3.6,large,⭐ MEDIUM,LA -6.0
BAL,CIN,3.0,0.11,-2.89,large,⭐ MEDIUM,BAL +3.0
MIA,PIT,-3.0,-0.49,2.51,large,⭐ MEDIUM,PIT -3.0
