away_team,home_team,vegas_spread_home,model_spread_home,sigma,bet_side,cover_prob,bet_ev
LV,HOU,-14.5,6.65,6.61,LV +14.5,0.751,0.434
ATL,ARI,3.0,3.13,6.61,ARI +3.0,0.702,0.34
CIN,MIA,3.5,1.99,6.61,MIA +3.5,0.682,0.303
GB,CHI,-1.5,-3.79,6.61,GB +1.5,0.676,0.291
SF,IND,6.5,-1.34,6.61,IND +6.5,0.672,0.283
KC,TEN,3.0,-7.71,6.61,KC -3.0,0.658,0.256
NE,BAL,-3.0,6.71,6.61,BAL -3.0,0.626,0.195
MIN,NYG,3.0,-5.25,6.61,MIN -3.0,0.577,0.102
PIT,DET,-7.0,5.07,6.61,PIT +7.0,0.566,0.081
LAC,DAL,-2.5,0.91,6.61,LAC +2.5,0.555,0.059
PHI,WAS,6.5,-5.08,6.61,WAS +6.5,0.549,0.048
BUF,CLE,10.0,-8.66,6.61,CLE +10.0,0.546,0.043
NYJ,NO,-4.5,5.79,6.61,NO -4.5,0.544,0.039
JAX,DEN,-3.0,4.19,6.61,DEN -3.0,0.541,0.033
TB,CAR,3.0,-4.05,6.61,TB -3.0,0.536,0.024
LA,SEA,-1.5,1.7,6.61,SEA -1.5,0.507,-0.032
